,symbol,name,area,industry,fullname,enname,market,list_date,code,exchange
2723,600339,中油工程,新疆,石油加工,中国石油集团工程股份有限公司,"China Petroleum Engineering Co., Ltd.",主板,20001225,sh.600339,沪
2724,600340,华夏幸福,河北,区域地产,华夏幸福基业股份有限公司,"China Fortune Land Development Co.,Ltd.",主板,20031230,sh.600340,沪
2725,600343,航天动力,陕西,航空,陕西航天动力高科技股份有限公司,"Shaanxi Aerospace Power Hi-Tech Co.,Ltd",主板,20030408,sh.600343,沪
2726,600345,长江通信,湖北,通信设备,武汉长江通信产业集团股份有限公司,"Wuhan Yangtze Communication Industry Group Co.,Ltd",主板,20001222,sh.600345,沪
2727,600346,恒力石化,辽宁,化纤,恒力石化股份有限公司,"Hengli Petrochemical Co.,Ltd.",主板,20010820,sh.600346,沪
2728,600348,华阳股份,山西,煤炭开采,山西华阳集团新能股份有限公司,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",主板,20030821,sh.600348,沪
2729,600350,山东高速,山东,路桥,山东高速股份有限公司,Shandong Hi-Speed Company Limited,主板,20020318,sh.600350,沪
2730,600351,亚宝药业,山西,中成药,亚宝药业集团股份有限公司,"Yabao Pharmaceutical Group Co.,Ltd",主板,20020926,sh.600351,沪
2731,600352,浙江龙盛,浙江,染料涂料,浙江龙盛集团股份有限公司,"Zhejiang Longsheng Group Co.,Ltd",主板,20030801,sh.600352,沪
2732,600353,旭光电子,四川,元器件,成都旭光电子股份有限公司,"Chengdu Xuguang Electronics Co.,Ltd.",主板,20021120,sh.600353,沪
2733,600354,敦煌种业,甘肃,种植业,甘肃省敦煌种业集团股份有限公司,"Gansu Dunhuang Seed Group Co.,Ltd.",主板,20040115,sh.600354,沪
2734,600355,精伦电子,湖北,元器件,精伦电子股份有限公司,"Routon Electronic Co.,Ltd.",主板,20020613,sh.600355,沪
2735,600356,恒丰纸业,黑龙江,造纸,牡丹江恒丰纸业股份有限公司,"Mudanjiang Hengfeng Paper Co.,Ltd",主板,20010419,sh.600356,沪
2736,600358,国旅联合,江苏,旅游服务,国旅联合股份有限公司,"China United Travel.Co.,Ltd",主板,20000922,sh.600358,沪
2737,600359,新农开发,新疆,农业综合,新疆塔里木农业综合开发股份有限公司,"Xinjiang Talimu Agriculture Development Co.,Ltd.",主板,19990429,sh.600359,沪
2738,600360,华微电子,吉林,半导体,吉林华微电子股份有限公司,"Jilin Sino-Microelectronics Co.,Ltd.",主板,20010316,sh.600360,沪
2739,600361,华联综超,北京,超市连锁,北京华联综合超市股份有限公司,"Beijing Hualian Hypermarket Co.,Ltd.",主板,20011129,sh.600361,沪
2740,600362,江西铜业,江西,铜,江西铜业股份有限公司,Jiangxi Copper Company Limited,主板,20020111,sh.600362,沪
2741,600363,联创光电,江西,元器件,江西联创光电科技股份有限公司,"Jiangxi Lianchuang Opto-Electronic Science&Technology Co.,Ltd",主板,20010329,sh.600363,沪
2742,600365,ST通葡,吉林,红黄酒,通化葡萄酒股份有限公司,"Tonghua Grape Wine Co.,Ltd",主板,20010115,sh.600365,沪
2743,600366,宁波韵升,浙江,矿物制品,宁波韵升股份有限公司,"Ningbo Yunsheng Co.,Ltd.",主板,20001030,sh.600366,沪
2744,600367,红星发展,贵州,化工原料,贵州红星发展股份有限公司,"Guizhou Redstar Developing Co.,Ltd.",主板,20010320,sh.600367,沪
2745,600368,五洲交通,广西,路桥,广西五洲交通股份有限公司,"Guangxi Wuzhou Communications Co.,Ltd.",主板,20001221,sh.600368,沪
2746,600369,西南证券,重庆,证券,西南证券股份有限公司,"Southwest Securities Co.,Ltd.",主板,20010109,sh.600369,沪
2747,600370,三房巷,江苏,化工原料,江苏三房巷聚材股份有限公司,"Jiangsu Sanfame Polyester Material Co.,Ltd.",主板,20030306,sh.600370,沪
2748,600371,万向德农,黑龙江,种植业,万向德农股份有限公司,"Wanxiang Doneed Co.,Ltd",主板,20020916,sh.600371,沪
2749,600372,中航电子,北京,航空,中航航空电子系统股份有限公司,"China Avionics Systems Co.,Ltd.",主板,20010706,sh.600372,沪
2750,600373,中文传媒,江西,出版业,中文天地出版传媒集团股份有限公司,"Chinese Universe Publishing and Media Group Co.,Ltd.",主板,20020304,sh.600373,沪
2751,600375,汉马科技,安徽,汽车整车,汉马科技集团股份有限公司,"Hanma Technology Group Co.,Ltd.",主板,20030401,sh.600375,沪
2752,600376,首开股份,北京,区域地产,北京首都开发股份有限公司,"Beijing Capital Development Co.,Ltd.",主板,20010312,sh.600376,沪
2753,600377,宁沪高速,江苏,路桥,江苏宁沪高速公路股份有限公司,Jiangsu Expressway Company Limited,主板,20010116,sh.600377,沪
2754,600378,昊华科技,四川,化工原料,昊华化工科技集团股份有限公司,"Haohua Chemical Science & Technology Corp., Ltd.",主板,20010111,sh.600378,沪
2755,600379,宝光股份,陕西,电气设备,陕西宝光真空电器股份有限公司,"Shaanxi Baoguang Vacuum Electronic Apparatus Co.,Ltd.",主板,20020116,sh.600379,沪
2756,600380,健康元,深圳,化学制药,健康元药业集团股份有限公司,"Joincare Pharmaceutical Group Industry Co., Ltd.",主板,20010608,sh.600380,沪
2757,600381,青海春天,青海,医疗保健,青海春天药用资源科技股份有限公司,"Qinghai Spring Medicinal Resources Technology Co., Ltd",主板,20010508,sh.600381,沪
2758,600382,*ST广珠,广东,商贸代理,广东明珠集团股份有限公司,"Guangdong Mingzhu Group Co.,Ltd",主板,20010118,sh.600382,沪
2759,600383,金地集团,深圳,全国地产,金地(集团)股份有限公司,Gemdale Corporation,主板,20010412,sh.600383,沪
2760,600385,*ST金泰,山东,黄金,山东金泰集团股份有限公司,"Shandong Jintai Group Co.,Ltd.",主板,20010723,sh.600385,沪
2761,600386,北巴传媒,北京,汽车服务,北京巴士传媒股份有限公司,"Beijing Bashi Media Co.,Ltd.",主板,20010216,sh.600386,沪
2762,600387,ST海越,浙江,石油贸易,海越能源集团股份有限公司,"HY Energy Group Co.,Ltd",主板,20040218,sh.600387,沪
2763,600388,龙净环保,福建,环境保护,福建龙净环保股份有限公司,"Fujian Longking Co.,Ltd",主板,20001229,sh.600388,沪
2764,600389,江山股份,江苏,农药化肥,南通江山农药化工股份有限公司,"Nantong Jiangshan Agrochemical&Chemicals Co.,Ltd.",主板,20010110,sh.600389,沪
2765,600390,五矿资本,湖南,多元金融,五矿资本股份有限公司,Minmetals Capital Company Limited,主板,20010115,sh.600390,沪
2766,600391,航发科技,四川,航空,中国航发航空科技股份有限公司,"AECC AERO SCIENCE AND TECHNOLOGY CO.,LTD",主板,20011212,sh.600391,沪
2767,600392,盛和资源,四川,小金属,盛和资源控股股份有限公司,"Shenghe Resources Holding Co.,Ltd",主板,20030529,sh.600392,沪
2768,600393,ST粤泰,广东,全国地产,广州粤泰集团股份有限公司,"Guangzhou Yuetai Group Co.,Ltd.",主板,20010319,sh.600393,沪
2769,600395,盘江股份,贵州,煤炭开采,贵州盘江精煤股份有限公司,"Guizhou Panjiang Refined Coal Co.,Ltd.",主板,20010531,sh.600395,沪
2770,600396,金山股份,辽宁,火力发电,沈阳金山能源股份有限公司,"Shenyang Jinshan Energy Co.,Ltd",主板,20010328,sh.600396,沪
2771,600397,安源煤业,江西,煤炭开采,安源煤业集团股份有限公司,"Anyuan Coal Industry Group Co., Ltd.",主板,20020702,sh.600397,沪
2772,600398,海澜之家,江苏,服饰,海澜之家集团股份有限公司,"HLA GROUP CORP., LTD.",主板,20001228,sh.600398,沪
